seq_id,family,species,model,embedding_dim
HSP70|Thumatha_senex,HSP70,Thumatha_senex,esm2_t12_35M_UR50D,480
HSP70|Spodoptera_frugiperda,HSP70,Spodoptera_frugiperda,esm2_t12_35M_UR50D,480
HSP70|Apocheima_hispidaria,HSP70,Apocheima_hispidaria,esm2_t12_35M_UR50D,480
HSP70|Aporia_crataegi,HSP70,Aporia_crataegi,esm2_t12_35M_UR50D,480
HSP70|Parambassis_ranga,HSP70,Parambassis_ranga,esm2_t12_35M_UR50D,480
HSP70|Cercocebus_atys,HSP70,Cercocebus_atys,esm2_t12_35M_UR50D,480
HSP70|Acromyrmex_charruanus,HSP70,Acromyrmex_charruanus,esm2_t12_35M_UR50D,480
HSP70|Vidua_chalybeata,HSP70,Vidua_chalybeata,esm2_t12_35M_UR50D,480
HSP70|Polyodon_spathula,HSP70,Polyodon_spathula,esm2_t12_35M_UR50D,480
HSP70|Portevinia_maculata,HSP70,Portevinia_maculata,esm2_t12_35M_UR50D,480
HSP70|Mugil_cephalus,HSP70,Mugil_cephalus,esm2_t12_35M_UR50D,480
HSP70|Eupeodes_luniger,HSP70,Eupeodes_luniger,esm2_t12_35M_UR50D,480
HSP70|Vanessa_tameamea,HSP70,Vanessa_tameamea,esm2_t12_35M_UR50D,480
HSP70|Paramuricea_clavata,HSP70,Paramuricea_clavata,esm2_t12_35M_UR50D,480
HSP70|Triparma_laevis_f._longispina,HSP70,Triparma_laevis_f._longispina,esm2_t12_35M_UR50D,480
HSP70|Caerostris_darwini,HSP70,Caerostris_darwini,esm2_t12_35M_UR50D,480
HSP70|Mauremys_mutica,HSP70,Mauremys_mutica,esm2_t12_35M_UR50D,480
HSP70|Nycticebus_bengalensis,HSP70,Nycticebus_bengalensis,esm2_t12_35M_UR50D,480
HSP70|Solenopsis_invicta,HSP70,Solenopsis_invicta,esm2_t12_35M_UR50D,480
HSP70|Sphenella_marginata,HSP70,Sphenella_marginata,esm2_t12_35M_UR50D,480
HSP70|Ctenocephalides_felis,HSP70,Ctenocephalides_felis,esm2_t12_35M_UR50D,480
HSP70|Manduca_sexta,HSP70,Manduca_sexta,esm2_t12_35M_UR50D,480
HSP70|Catocala_fraxini,HSP70,Catocala_fraxini,esm2_t12_35M_UR50D,480
HSP70|Pangasianodon_gigas,HSP70,Pangasianodon_gigas,esm2_t12_35M_UR50D,480
RPS3|Lama_guanicoe_cacsilensis,RPS3,Lama_guanicoe_cacsilensis,esm2_t12_35M_UR50D,480
RPS3|Hirtodrosophila_cameraria,RPS3,Hirtodrosophila_cameraria,esm2_t12_35M_UR50D,480
RPS3|Chaetops_frenatus,RPS3,Chaetops_frenatus,esm2_t12_35M_UR50D,480
RPS3|Wallemia_ichthyophaga_EXF-994,RPS3,Wallemia_ichthyophaga_EXF-994,esm2_t12_35M_UR50D,480
RPS3|Tieghemostelium_lacteum,RPS3,Tieghemostelium_lacteum,esm2_t12_35M_UR50D,480
RPS3|Coemansia_sp._S2,RPS3,Coemansia_sp._S2,esm2_t12_35M_UR50D,480
RPS3|Penicillium_freii,RPS3,Penicillium_freii,esm2_t12_35M_UR50D,480
RPS3|Ateles_geoffroyi,RPS3,Ateles_geoffroyi,esm2_t12_35M_UR50D,480
RPS3|Cryptomeria_japonica,RPS3,Cryptomeria_japonica,esm2_t12_35M_UR50D,480
RPS3|Actinidia_chinensis_var._chinensis,RPS3,Actinidia_chinensis_var._chinensis,esm2_t12_35M_UR50D,480
RPS3|Eudyptes_robustus,RPS3,Eudyptes_robustus,esm2_t12_35M_UR50D,480
RPS3|Venturia_canescens,RPS3,Venturia_canescens,esm2_t12_35M_UR50D,480
RPS3|Lasiosphaeria_miniovina,RPS3,Lasiosphaeria_miniovina,esm2_t12_35M_UR50D,480
RPS3|Saprochaete_ingens,RPS3,Saprochaete_ingens,esm2_t12_35M_UR50D,480
RPS3|Tulosesus_angulatus,RPS3,Tulosesus_angulatus,esm2_t12_35M_UR50D,480
RPS3|Fusarium_proliferatum_ET1,RPS3,Fusarium_proliferatum_ET1,esm2_t12_35M_UR50D,480
RPS3|Lasioglossum_pauxillum,RPS3,Lasioglossum_pauxillum,esm2_t12_35M_UR50D,480
RPS3|Callithrix_jacchus,RPS3,Callithrix_jacchus,esm2_t12_35M_UR50D,480
RPS3|Microctonus_hyperodae,RPS3,Microctonus_hyperodae,esm2_t12_35M_UR50D,480
RPS3|Mythimna_loreyi,RPS3,Mythimna_loreyi,esm2_t12_35M_UR50D,480
RPS3|Coprinopsis_cinerea_okayama7#130,RPS3,Coprinopsis_cinerea_okayama7#130,esm2_t12_35M_UR50D,480
RPS3|Notocelia_uddmanniana,RPS3,Notocelia_uddmanniana,esm2_t12_35M_UR50D,480
RPS3|Aspergillus_flavus,RPS3,Aspergillus_flavus,esm2_t12_35M_UR50D,480
RPS3|Boletus_edulis,RPS3,Boletus_edulis,esm2_t12_35M_UR50D,480
RPS3|Diaporthaceae_sp._PMI_573,RPS3,Diaporthaceae_sp._PMI_573,esm2_t12_35M_UR50D,480
RPS3|Lutra_lutra,RPS3,Lutra_lutra,esm2_t12_35M_UR50D,480
RPS3|Ceratitis_capitata,RPS3,Ceratitis_capitata,esm2_t12_35M_UR50D,480
RPS3|Panicum_hallii,RPS3,Panicum_hallii,esm2_t12_35M_UR50D,480
RPS3|Teloschistes_peruensis,RPS3,Teloschistes_peruensis,esm2_t12_35M_UR50D,480
RPS3|Physcia_stellaris,RPS3,Physcia_stellaris,esm2_t12_35M_UR50D,480
RPS3|Anoplophora_glabripennis,RPS3,Anoplophora_glabripennis,esm2_t12_35M_UR50D,480
RPS3|Candida_albicans_P34048,RPS3,Candida_albicans_P34048,esm2_t12_35M_UR50D,480
RPS3|Solanum_pennellii,RPS3,Solanum_pennellii,esm2_t12_35M_UR50D,480
RPS3|Bombus_breviceps,RPS3,Bombus_breviceps,esm2_t12_35M_UR50D,480
RPS3|Coptis_chinensis,RPS3,Coptis_chinensis,esm2_t12_35M_UR50D,480
RPS3|Colletotrichum_scovillei,RPS3,Colletotrichum_scovillei,esm2_t12_35M_UR50D,480
RPS3|Dinothrombium_tinctorium,RPS3,Dinothrombium_tinctorium,esm2_t12_35M_UR50D,480
RPS3|Melampsora_larici-populina_98AG31,RPS3,Melampsora_larici-populina_98AG31,esm2_t12_35M_UR50D,480
RPS3|Coemansia_sp._RSA_486,RPS3,Coemansia_sp._RSA_486,esm2_t12_35M_UR50D,480
RPS3|Calidris_pugnax,RPS3,Calidris_pugnax,esm2_t12_35M_UR50D,480
RPS3|Diarsia_mendica,RPS3,Diarsia_mendica,esm2_t12_35M_UR50D,480
RPS3|Plasmodium_falciparum_NF54,RPS3,Plasmodium_falciparum_NF54,esm2_t12_35M_UR50D,480
RPS3|Alligator_sinensis,RPS3,Alligator_sinensis,esm2_t12_35M_UR50D,480
RPS3|Mirounga_leonina,RPS3,Mirounga_leonina,esm2_t12_35M_UR50D,480
RPS3|Candida_pseudojiufengensis,RPS3,Candida_pseudojiufengensis,esm2_t12_35M_UR50D,480
RPS3|Pycnora_praestabilis,RPS3,Pycnora_praestabilis,esm2_t12_35M_UR50D,480
RPS3|Tulasnella_sp._332,RPS3,Tulasnella_sp._332,esm2_t12_35M_UR50D,480
RPS3|Gymnopus_androsaceus_JB14,RPS3,Gymnopus_androsaceus_JB14,esm2_t12_35M_UR50D,480
RPS3|Larus_smithsonianus,RPS3,Larus_smithsonianus,esm2_t12_35M_UR50D,480
RPS3|Fusarium_oxysporum_f._sp._albedinis,RPS3,Fusarium_oxysporum_f._sp._albedinis,esm2_t12_35M_UR50D,480
RPS3|Hippolais_icterina,RPS3,Hippolais_icterina,esm2_t12_35M_UR50D,480
RPS3|Rhincodon_typus,RPS3,Rhincodon_typus,esm2_t12_35M_UR50D,480
RPS3|Copsychus_sechellarum,RPS3,Copsychus_sechellarum,esm2_t12_35M_UR50D,480
RPS3|Zonotrichia_albicollis,RPS3,Zonotrichia_albicollis,esm2_t12_35M_UR50D,480
RPS3|Eudyptes_chrysocome,RPS3,Eudyptes_chrysocome,esm2_t12_35M_UR50D,480
RPS3|Vigna_unguiculata,RPS3,Vigna_unguiculata,esm2_t12_35M_UR50D,480
RPS3|Botrytis_cinerea_B05.10,RPS3,Botrytis_cinerea_B05.10,esm2_t12_35M_UR50D,480
RPS3|Entomortierella_parvispora,RPS3,Entomortierella_parvispora,esm2_t12_35M_UR50D,480
RPS3|Fonsecaea_multimorphosa_CBS_102226,RPS3,Fonsecaea_multimorphosa_CBS_102226,esm2_t12_35M_UR50D,480
RPS3|Melipona_bicolor,RPS3,Melipona_bicolor,esm2_t12_35M_UR50D,480
RPS3|Candida_dubliniensis_CD36,RPS3,Candida_dubliniensis_CD36,esm2_t12_35M_UR50D,480
RPS3|Saccharomyces_cerevisiae_YJM1208,RPS3,Saccharomyces_cerevisiae_YJM1208,esm2_t12_35M_UR50D,480
RPS3|Toxoplasma_gondii_TgCatPRC2,RPS3,Toxoplasma_gondii_TgCatPRC2,esm2_t12_35M_UR50D,480
RPS3|Pectinophora_gossypiella,RPS3,Pectinophora_gossypiella,esm2_t12_35M_UR50D,480
RPS3|Russula_ochroleuca,RPS3,Russula_ochroleuca,esm2_t12_35M_UR50D,480
RPS3|Ostrinia_furnacalis,RPS3,Ostrinia_furnacalis,esm2_t12_35M_UR50D,480
RPS3|Pyricularia_pennisetigena,RPS3,Pyricularia_pennisetigena,esm2_t12_35M_UR50D,480
RPS3|Paramecium_pentaurelia,RPS3,Paramecium_pentaurelia,esm2_t12_35M_UR50D,480
RPS3|Moesziomyces_aphidis,RPS3,Moesziomyces_aphidis,esm2_t12_35M_UR50D,480
RPS3|Circinella_minor,RPS3,Circinella_minor,esm2_t12_35M_UR50D,480
RPS3|Cryptococcus_gattii_WM276,RPS3,Cryptococcus_gattii_WM276,esm2_t12_35M_UR50D,480
RPS3|Gossypium_barbadense,RPS3,Gossypium_barbadense,esm2_t12_35M_UR50D,480
RPS3|Cervus_hanglu_yarkandensis,RPS3,Cervus_hanglu_yarkandensis,esm2_t12_35M_UR50D,480
RPS3|Naegleria_lovaniensis,RPS3,Naegleria_lovaniensis,esm2_t12_35M_UR50D,480
RPS3|Mytilus_californianus,RPS3,Mytilus_californianus,esm2_t12_35M_UR50D,480
RPS3|Phytophthora_aleatoria,RPS3,Phytophthora_aleatoria,esm2_t12_35M_UR50D,480
RPS3|Coprinellus_micaceus,RPS3,Coprinellus_micaceus,esm2_t12_35M_UR50D,480
RPS3|Aspergillus_sergii,RPS3,Aspergillus_sergii,esm2_t12_35M_UR50D,480
RPS3|Acanthaster_planci,RPS3,Acanthaster_planci,esm2_t12_35M_UR50D,480
RPS3|Lipomyces_starkeyi_NRRL_Y-11557,RPS3,Lipomyces_starkeyi_NRRL_Y-11557,esm2_t12_35M_UR50D,480
GAPDH|Daphnia_galeata,GAPDH,Daphnia_galeata,esm2_t12_35M_UR50D,480
GAPDH|Uncinocarpus_reesii_1704,GAPDH,Uncinocarpus_reesii_1704,esm2_t12_35M_UR50D,480
GAPDH|Dothidotthia_symphoricarpi_CBS_119687,GAPDH,Dothidotthia_symphoricarpi_CBS_119687,esm2_t12_35M_UR50D,480
GAPDH|Zeugodacus_cucurbitae,GAPDH,Zeugodacus_cucurbitae,esm2_t12_35M_UR50D,480
GAPDH|Talpa_occidentalis,GAPDH,Talpa_occidentalis,esm2_t12_35M_UR50D,480
GAPDH|Phakopsora_pachyrhizi,GAPDH,Phakopsora_pachyrhizi,esm2_t12_35M_UR50D,480
GAPDH|Millerozyma_farinosa_CBS_7064,GAPDH,Millerozyma_farinosa_CBS_7064,esm2_t12_35M_UR50D,480
GAPDH|Mus_caroli,GAPDH,Mus_caroli,esm2_t12_35M_UR50D,480
GAPDH|Gonapodya_sp._JEL0774,GAPDH,Gonapodya_sp._JEL0774,esm2_t12_35M_UR50D,480
GAPDH|Polyplosphaeria_fusca,GAPDH,Polyplosphaeria_fusca,esm2_t12_35M_UR50D,480
GAPDH|Vidua_macroura,GAPDH,Vidua_macroura,esm2_t12_35M_UR50D,480
GAPDH|Penicillium_glabrum,GAPDH,Penicillium_glabrum,esm2_t12_35M_UR50D,480
GAPDH|Parastagonospora_nodorum,GAPDH,Parastagonospora_nodorum,esm2_t12_35M_UR50D,480
GAPDH|Aureobasidium_sp._EXF-12344,GAPDH,Aureobasidium_sp._EXF-12344,esm2_t12_35M_UR50D,480
GAPDH|Acronicta_leporina,GAPDH,Acronicta_leporina,esm2_t12_35M_UR50D,480
GAPDH|Ascochyta_lentis,GAPDH,Ascochyta_lentis,esm2_t12_35M_UR50D,480
