family,total_sequences,num_kmeans_minority_flags,num_robust_z_flags,num_high_confidence,num_any_flag,high_confidence_ids
CYTC,200,20,19,19,20,CYTC|Acaulospora_colombiana;CYTC|Aspergillus_neoniger_CBS_115656;CYTC|Aspergillus_oryzae;CYTC|Blastomyces_parvus;CYTC|Calycina_marina;CYTC|Cariama_cristata;CYTC|Coemansia_sp._RSA_532;CYTC|Coniochaeta_sp._PMI_546;CYTC|Cordyceps_javanica;CYTC|Diplocarpon_rosae;CYTC|Fonsecaea_pedrosoi_CBS_271.37;CYTC|Geoglossum_simile;CYTC|Lachnellula_willkommii;CYTC|Linnemannia_hyalina;CYTC|Neodiprion_virginianus;CYTC|Perkinsus_chesapeaki;CYTC|Podochytrium_sp._JEL0797;CYTC|Saitozyma_sp._JCM_24511;CYTC|Silurus_asotus
GAPDH,200,38,23,21,40,GAPDH|Acleris_literana;GAPDH|Acomys_cahirinus;GAPDH|Anania_crocealis;GAPDH|Arvicola_amphibius;GAPDH|Cynocephalus_volans;GAPDH|Drepana_falcataria;GAPDH|Endotricha_flammealis;GAPDH|Erebia_ligea;GAPDH|Euphydryas_editha;GAPDH|Geoglossum_simile;GAPDH|Hypsopygia_costalis;GAPDH|Lobulomyces_angularis;GAPDH|Melanargia_galathea;GAPDH|Motacilla_alba_alba;GAPDH|Pammene_fasciana;GAPDH|Porites_lobata;GAPDH|Rhodotorula_toruloides_ATCC_204091;GAPDH|Synanthedon_andrenaeformis;GAPDH|Synanthedon_myopaeformis;GAPDH|Teleiodes_luculella;GAPDH|Zeuzera_pyrina
HSP70,200,32,8,1,39,HSP70|Pedinophyceae_sp._YPF-701
RPS3,200,9,18,9,18,RPS3|Aromia_moschata;RPS3|Cladochytrium_tenue;RPS3|Closterium_sp._Yama58-4;RPS3|Emmonsia_crescens_UAMH_3008;RPS3|Eurypyga_helias;RPS3|Salix_dunnii;RPS3|Tauraco_erythrolophus;RPS3|Trichinella_sp._T6;RPS3|Vaccinium_darrowii
