family,total_sequences,num_kmeans_minority_flags,num_robust_z_flags,num_high_confidence,num_any_flag,high_confidence_ids
CYTC,200,14,23,14,23,CYTC|Acaulospora_colombiana;CYTC|Blastomyces_parvus;CYTC|Calycina_marina;CYTC|Coemansia_sp._RSA_532;CYTC|Coniochaeta_sp._PMI_546;CYTC|Cordyceps_javanica;CYTC|Diplocarpon_rosae;CYTC|Geoglossum_simile;CYTC|Lachnellula_willkommii;CYTC|Linnemannia_hyalina;CYTC|Neodiprion_virginianus;CYTC|Podochytrium_sp._JEL0797;CYTC|Saitozyma_sp._JCM_24511;CYTC|Silurus_asotus
GAPDH,200,16,33,16,33,GAPDH|Acleris_literana;GAPDH|Acomys_cahirinus;GAPDH|Anania_crocealis;GAPDH|Arvicola_amphibius;GAPDH|Cynocephalus_volans;GAPDH|Drepana_falcataria;GAPDH|Endotricha_flammealis;GAPDH|Erebia_ligea;GAPDH|Euphydryas_editha;GAPDH|Hypsopygia_costalis;GAPDH|Lobulomyces_angularis;GAPDH|Porites_lobata;GAPDH|Synanthedon_andrenaeformis;GAPDH|Synanthedon_myopaeformis;GAPDH|Teleiodes_luculella;GAPDH|Zeuzera_pyrina
HSP70,200,70,8,7,71,HSP70|Cervus_elaphus;HSP70|Meleagris_gallopavo;HSP70|Myiozetetes_cayanensis;HSP70|Numida_meleagris;HSP70|Taeniopygia_guttata;HSP70|Vidua_chalybeata;HSP70|Zosterops_borbonicus
RPS3,200,9,25,9,25,RPS3|Anabarilius_grahami;RPS3|Aromia_moschata;RPS3|Cladochytrium_tenue;RPS3|Closterium_sp._Yama58-4;RPS3|Emmonsia_crescens_UAMH_3008;RPS3|Eurypyga_helias;RPS3|Salix_dunnii;RPS3|Tauraco_erythrolophus;RPS3|Vaccinium_darrowii
